filename,mean_R,mean_G,mean_B
kasbit_bellanaija_10.jpg,160.98411252379907,155.0812589246485,163.66753052687463
kasbit_bellanaija_11.jpg,148.66866151103147,134.75868882623664,146.3287266371557
kasbit_bellanaija_12.jpg,154.13057132913247,137.76760239595546,144.10688402146835
kasbit_bellanaija_13.jpg,116.46629163183759,109.75612779433365,119.63169904902158
kasbit_bellanaija_14.jpg,115.87562573485069,104.06127147065587,111.67407164767083
kasbit_bellanaija_18.jpg,204.28650214145895,179.3025297484119,190.85282603246057
kasbit_bellanaija_20.jpg,193.87191735577628,181.60263859666293,180.46651600039144
kasbit_bellanaija_21 - Copy.jpg,119.5508232091624,111.56170266515095,115.86804357969031
kasbit_bellanaija_23.jpg,139.34056801955185,132.090916767355,134.89879082454598
kasbit_bellanaija_29 - Copy.jpg,194.13764726432856,190.09824954119736,195.69132879167233
kasbit_bellanaija_31.jpg,115.24271831171808,108.36369888230513,117.84842850449941
kasbit_bellanaija_34.jpg,133.01243455257762,123.06395723491505,132.05656831246338
kasbit_bellanaija_35.jpg,138.1326468219098,129.25636029950206,137.0905133274751
kasbit_bellanaija_9 - Copy.jpg,142.09657864264406,105.6134916195635,116.71058790626472
kasbit_bellanaija_9.jpg,182.8663594623259,166.0077150181031,167.2803023502462
